type_debris,waste_quantity,pickup_name,pickup_address,pickup_city,pickup_state,pickup_zip,pickup_lat,pickup_lng,generator_name,generator_address,generator_city,generator_state,generator_zip,transporter_name,receiving_name,receiving_address,receiving_city,receiving_state,receiving_zip,receiving_lat,receiving_lng
Construction Waste,4 Tons,Asplundh Yard,294 Old Northport Rd,Kings Park,NY,11754,40.86997063,-73.26886954,Asplundh Construstion Corp.,294 Old Northport Rd,Kings Park,NY,11754,AB Oil,110 Sand Company,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Construction Waste,6 Tons,Asplundh Yard,93 Sills Road,Yaphank,NY,11980,40.81950867,-72.94540839,Asplundh Construstion Corp.,93 Sills Road,Yaphank,NY,11980,AB Oil,110 Sand Company,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Construction Waste,6 Tons,Asplundh Yard,Conklin St & Broadhollow Rd,Farmigdale,NY,11735,40.73850107,-73.42329816,Asplundh Construstion Corp.,93 Sills Road,Yaphank,NY,11980,AB Oil,110 Sand Company,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Demolition Waste,15 Cubic Yards,Ahern Rentals,45 Brook Ave,Deer Park,NY,11729,40.74376831,-73.30812875,Ahern Rentals,45 Brook Ave,Deer Park,NY,11729,AB Oil,Watral Bros.,45 S 4th St,Bay Shore,NY,11706,40.76381393,-73.29439761
,15 Cubic Yards,Ahern Rentals,45 Brook Ave,Deer Park,NY,11729,40.74376831,-73.30812875,Ahern Rentals,45 Brook Ave,Deer Park,NY,11729,AB Oil,Watral Bros.,45 S 4th St,Bay Shore,NY,11706,40.76381393,-73.29439761
Contaminated Fill,15 Cubic Yards,Patchogue Fire District,25 Park Street,Patchogue,NY,11772,40.75410527,-73.00863276,Patchogue Fire District,25 Park Street,Patchogue,NY,11772,AB Oil,"Posillico Materials, LLC",1610 New Highway,Farmingdale,NY,11735,40.743227,-73.4139
Contaminated Fill,15 Cubic Yards,Patchogue Fire District,25 Park Street,Patchogue,NY,11772,40.75410527,-73.00863276,Patchogue Fire District,25 Park Street,Patchogue,NY,11772,AB Oil,"Posillico Materials, LLC",1610 New Highway,Farmingdale,NY,11735,40.743227,-73.4139
Contaminated Fill,15 Cubic Yards,Patchogue Fire District,25 Park Street,Patchogue,NY,11772,40.75410527,-73.00863276,Patchogue Fire District,25 Park Street,Patchogue,NY,11772,AB Oil,"Posillico Materials, LLC",1610 New Highway,Farmingdale,NY,11735,40.743227,-73.4139
Contaminated Fill,15 Cubic Yards,Crown Petroleum - Truck Roll Over,NY-878 & Burnside Ave,Inwood,NY,11096,40.62302754,-73.74098061,Crown Petroleum - Truck Roll Over,NY-878 & Burnside Ave,Inwood,NY,11096,AB Oil,"Posillico Materials, LLC",1610 New Highway,Farmingdale,NY,11735,40.743227,-73.4139
Contaminated Fill,15 Cubic Yards,Crown Petroleum - Truck Roll Over,NY-878 & Burnside Ave,Inwood,NY,11096,40.62302754,-73.74098061,Crown Petroleum - Truck Roll Over,NY-878 & Burnside Ave,Inwood,NY,11096,AB Oil,"Posillico Materials, LLC",1610 New Highway,Farmingdale,NY,11735,40.743227,-73.4139
Contaminated Fill,15 Cubic Yards,Crown Petroleum - Truck Roll Over,NY-878 & Burnside Ave,Inwood,NY,11096,40.62302754,-73.74098061,Crown Petroleum - Truck Roll Over,NY-878 & Burnside Ave,Inwood,NY,11096,AB Oil,"Posillico Materials, LLC",1610 New Highway,Farmingdale,NY,11735,40.743227,-73.4139
Contaminated Fill,15 Cubic Yards,Crown Petroleum - Truck Roll Over,NY-878 & Burnside Ave,Inwood,NY,11096,40.62302754,-73.74098061,Crown Petroleum - Truck Roll Over,NY-878 & Burnside Ave,Inwood,NY,11096,AB Oil,"Posillico Materials, LLC",1610 New Highway,Farmingdale,NY,11735,40.743227,-73.4139
Contaminated Fill,Unknown,Residence,108 Candy Lane,Syosset,NY,11791,40.80829039,-73.50288001,Residence,108 Candy Lane,Syosset,NY,11791,AB Oil,"Posillico Materials, LLC",1610 New Highway,Farmingdale,NY,11735,40.743227,-73.4139
Mix,Unknown,Unknown,136 Marshall Street,Brooklyn,NY,11201,40.7047976,-73.9809403,Con Edison,4 Irving Place,New York,NY,11201,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Mix,Unknown,Unknown,136 Marshall Street,Brooklyn,NY,11201,40.7047976,-73.9809403,Con Edison,4 Irving Place,Brooklyn,NY,11201,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Mix,6 Cubic Yards,Unknown,136 Marshall Street,Brooklyn,NY,11201,40.7047976,-73.9809403,Con Edison,4 Irving Place,New York,NY,10003,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Mix,Unknown,Unknown,136 Marshall Street,Brooklyn,NY,11201,40.7047976,-73.9809403,Con Edison,4 Irving Place,New York,NY,10003,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Mix,Unknown,Unknown,136 Marshall Street,Brooklyn,NY,11201,40.7047976,-73.9809403,Con Edison,4 Irving Place,Brooklyn,NY,11201,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Mix,Unknown,Unknown,136 Marshall Street,Brooklyn,NY,11201,40.7047976,-73.9809403,Con Edison,4 Irving Place,New York,NY,11201,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Mix,3 Tons,Unknown,136 Marshall Street,Brooklyn,NY,11201,40.7047976,-73.9809403,Con Edison,4 Irving Place,Brooklyn,NY,11201,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Mix,12 Tons,US Tennis Association,Meridian Rd. between Shea Rd and East Rd,Queens,NY,11355,40.75389049,-73.83691823,Con Edison of NY,4 Irving Place,New York,NY,10003,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Mix,34 Tons,US Tennis Association,Meridian Rd. between Shea Rd and East Rd,Queens,NY,11355,40.75389049,-73.83691823,Con Edison of NY,4 Irving Place,New York,NY,10003,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Mix,Unknown,Unknown,136 Marshall Street,Brooklyn,NY,11201,40.7047976,-73.9809403,Con Edison,4 Irving Place,Melville,NY,10003,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Mix,15 Cubic Yards,Unknown,136 Marshall Street,Brooklyn,NY,11201,40.7047976,-73.9809403,Con Edison,4 Irving Place,New York,NY,10003,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Mix,13 Tons,Unknown,136 Marshall Street,Brooklyn,NY,11201,40.7047976,-73.9809403,Con Edison,4 Irving Place,New York,NY,10003,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Mix,Unknown,Unknown,136 Marshall Street,Brooklyn,NY,11201,40.7047976,-73.9809403,Con Edison,4 Irving Place,New York,NY,10003,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Mix,Unknown,Unknown,136 Marshall Street,Melville,NY,11201,40.7047976,-73.9809403,Con Edison,4 Irving Place,Brooklyn,NY,11201,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Mix,4 Tons,Unknown,128-20 14th Avenue,College Point,NY,11356,40.7852854,-73.8395631,Supplies by David Inc.,128-20 14th Avenue,College Point,NY,11356,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Mix,Unknown,Unknown,128-20 14th Avenue,College Point,NY,11356,40.7852854,-73.8395631,Supplies by David Inc.,128-20 14th Avenue,College Point,NY,11356,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Mix,6 Cubic Yards,Unknown,136 Marshall Street,Brooklyn,NY,11201,40.7047976,-73.9809403,Con Edison,4 Irving Place,New York,NY,10003,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Mix,6 Cubic Yards,Unknown,136 Marshall Street,Brooklyn,NY,11201,40.7047976,-73.9809403,Con Edison,4 Irving Place,Brooklyn,NY,11201,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Mix,Unknown,Unknown,136 Marshall Street,Brooklyn,NY,11201,40.7047976,-73.9809403,Con Edison,4 Irving Place,New York,NY,11201,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Mix,Unknown,Unknown,136 Marshall Street,Brooklyn,NY,11201,40.7047976,-73.9809403,Con Edison,4 Irving Place,New York,NY,10003,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Mix,6 Cubic Yards,Unknown,136 Marshall Street,Brooklyn,NY,11201,40.7047976,-73.9809403,Con Edison,4 Irving Place,New York,NY,10003,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Mix,Unknown,Unknown,136 Marshall Street,Brooklyn,NY,11201,40.7047976,-73.9809403,Con Edison,4 Irving Place,New York,NY,10003,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Mix,Unknown,Unknown,136 Marshall Street,Brooklyn,NY,11201,40.7047976,-73.9809403,Con Edison,4 Irving Place,New York,NY,10003,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Mix,6 Cubic Yards,Unknown,136 Marshall Street,Brooklyn,NY,11201,40.7047976,-73.9809403,Con Edison,4 Irving Place,Brooklyn,NY,11201,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Mix,8.53 Tons,Unknown,136 Marshall Street,Brooklyn,NY,11201,40.7047976,-73.9809403,Con Edison,4 Irving Place,New York,NY,10003,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Mix,Unknown,US Tennis Association,Meridian Rd. between Shea Rd and East Rd,Queens,NY,11355,40.75389049,-73.83691823,Con Edison of NY,4 Irving Place,Melville,NY,10003,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Mix,307 Cubic Yards,Unknown,136 Marshall Street,Brooklyn,NY,11201,40.7047976,-73.9809403,Con Edison,4 Irving Place,New York,NY,10003,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Mix,Unknown,Unknown,136 Marshall Street,Brooklyn,NY,11201,40.7047976,-73.9809403,Con Edison,4 Irving Place,New York,NY,10003,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Mix,Unknown,Unknown,242 West 49th Street,New York,NY,10019,40.7611725,-73.9859663,"350 West 52nd Street, LLC",350 West 52nd Street,New York,NY,10019,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Mix,25 Cubic Yards,Unknown,350 West 52nd Street,New York,NY,10019,40.7640999,-73.9870203,"350 West 52nd Street, LLC",242 West 49th Street,New York,NY,10019,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Mix,Unknown,Unknown,242 West 49th Street,New York,NY,10019,40.7611725,-73.9859663,"350 West 52nd Street, LLC",350 West 52nd Street,New York,NY,10019,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Mix,Unknown,Unknown,350 West 52nd Street,New York,NY,10019,40.7640999,-73.9870203,"350 West 52nd Street, LLC",242 West 49th Street,New York,NY,10019,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Mix,Unknown,Unknown,350 West 52nd Street,New York,NY,10019,40.7640999,-73.9870203,"350 West 52nd Street, LLC",242 West 49th Street,New York,NY,10019,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Mix,26 Tons,Unknown,350 West 52nd Street,New York,NY,10019,40.7640999,-73.9870203,"350 West 52nd Street, LLC",242 West 49th Street,New York,NY,10019,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Mix,Unknown,Unknown,350 West 52nd Street,New York,NY,10019,40.7640999,-73.9870203,"350 West 52nd Street, LLC",242 West 49th Street,New York,NY,10019,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Mix,Unknown,Unknown,242 West 49th Street,New York,NY,10019,40.7611725,-73.9859663,"350 West 52nd Street, LLC",350 West 52nd Street,New York,NY,10019,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Mix,30 Cubic Yards,Unknown,350 West 52nd Street,New York,NY,10019,40.7640999,-73.9870203,"350 West 52nd Street, LLC",242 West 49th Street,New York,NY,10019,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Mix,Unknown,Unknown,350 West 52nd Street,New York,NY,10019,40.7640999,-73.9870203,"350 West 52nd Street, LLC",242 West 49th Street,New York,NY,10019,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Mix,5 Cubic Yards,Unknown,350 West 52nd Street,New York,NY,10019,40.7640999,-73.9870203,"350 West 52nd Street, LLC",242 West 49th Street,New York,NY,10019,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Mix,19 Cubic Yards,Unknown,350 West 52nd Street,New York,NY,10019,40.7640999,-73.9870203,"350 West 52nd Street, LLC",242 West 49th Street,New York,NY,10019,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Mix,Unknown,Unknown,350 West 52nd Street,New York,NY,10019,40.7640999,-73.9870203,"350 West 52nd Street, LLC",242 West 49th Street,New York,NY,10019,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Mix,30 Tons,Unknown,350 West 52nd Street,New York,NY,10019,40.7640999,-73.9870203,"350 West 52nd Street, LLC",242 West 49th Street,New York,NY,10019,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Mix,30 Tons,Unknown,350 West 52nd Street,New York,NY,10019,40.7640999,-73.9870203,"350 West 52nd Street, LLC",242 West 49th Street,New York,NY,10019,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Mix,Unknown,Unknown,350 West 52nd Street,New York,NY,10019,40.7640999,-73.9870203,"350 West 52nd Street, LLC",242 West 49th Street,New York,NY,10019,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Mix,18 Tons,Unknown,350 West 52nd Street,New York,NY,10019,40.7640999,-73.9870203,"350 West 52nd Street, LLC",242 West 49th Street,New York,NY,10019,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Mix,14 Tons,Unknown,350 West 52nd Street,New York,NY,10019,40.7640999,-73.9870203,"350 West 52nd Street, LLC",242 West 49th Street,New York,NY,10019,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Mix,30 Cubic Yards,Unknown,350 West 52nd Street,New York,NY,10019,40.7640999,-73.9870203,"350 West 52nd Street, LLC",242 West 49th Street,New York,NY,10019,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Mix,30 Cubic Yards,Unknown,350 West 52nd Street,New York,NY,10019,40.7640999,-73.9870203,"350 West 52nd Street, LLC",242 West 49th Street,New York,NY,10019,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Mix,Unknown,Unknown,4650 Broadway,New York,NY,10040,40.8627703,-73.9296427,"4650 Broadway Holdings, LLC",850 Third Avenue,New York,NY,10040,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Mix,12 Cubic Yards,Unknown,4650 Broadway,New York,NY,10040,40.8627703,-73.9296427,"4650 Broadway Holdings, LLC",850 Third Avenue,New York,NY,10040,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Mix,20 Tons,Unknown,4650 Broadway,New York,NY,10040,40.8627703,-73.9296427,"4650 Broadway Holdings, LLC",850 Third Avenue,New York,NY,10022,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Mix,20 Cubic Yards,Unknown,4650 Broadway,New York,NY,10040,40.8627703,-73.9296427,"4650 Broadway Holdings, LLC",850 Third Avenue,New York,NY,10040,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Mix,15 Cubic Yards,Unknown,4650 Broadway,New York,NY,10040,40.8627703,-73.9296427,"4650 Broadway Holdings, LLC",850 Third Avenue,New York,NY,10040,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Mix,20 Tons,Unknown,4650 Broadway,New York,NY,10040,40.8627703,-73.9296427,"4650 Broadway Holdings, LLC",850 Third Avenue,New York,NY,10040,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Mix,30 Cubic Yards,Emergency Project,70 Mulberry Street,New York,NY,10013,40.7160295,-73.9990302,NYC Housing Preservation & Development,100 Gold Street,New York,NY,10038,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Mix,30 Cubic Yards,Emergency Project,70 Mulberry Street,New York,NY,10013,40.7160295,-73.9990302,NYC Housing Preservation & Development,100 Gold Street,New York,NY,10038,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Mix,30 Tons,Emergency Project,70 Mulberry Street,New York,NY,10013,40.7160295,-73.9990302,NYC Housing Preservation & Development,100 Gold Street,New York,NY,10038,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Mix,30 Cubic Yards,Emergency Project,70 Mulberry Street,New York,NY,10013,40.7160295,-73.9990302,NYC Housing Preservation & Development,100 Gold Street,New York,NY,10013,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Mix,30 Cubic Yards,Emergency Project,70 Mulberry Street,New York,NY,10013,40.7160295,-73.9990302,NYC Housing Preservation & Development,100 Gold Street,New York,NY,10013,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Mix,30 Tons,Emergency Project,70 Mulberry Street,New York,NY,10013,40.7160295,-73.9990302,NYC Housing Preservation & Development,100 Gold Street,New York,NY,10013,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Mix,25 Cubic Yards,Emergency Project,158 West 125th Street,New York,NY,10027,40.8085429,-73.9478717,"158 West 125th Street, LLC",1185 Sixth Avenue,New York,NY,10027,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
